ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,20 MARINE VISTA,1.306142,103.919825,",",,,,,,,
VICTORIA SCHOOL,2 Siglap Link,448880,2 Siglap Link,1.308378,103.927638,",",,,,,,,
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,10 WELLINGTON CIRCLE,36.329318,-94.163318,",",,,,,,,
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,1 JURONG WEST ST 72,1.34455,103.698987,",",,,,,,,
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road,679946,60 Bukit Panjang Ring Road,1.378253,103.772426,",",,,,,,,
WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD,677737,61 SENJA ROAD,1.387707,103.760018,",",,,,,,,
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,31 SENJA ROAD,1.383113,103.760229,",",,,,,,,
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73,649188,1 Jurong West Street 73,1.346195,103.699007,",",,,,,,,
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25,648350,11 JURONG WEST STREET 25,1.353569,103.701682,",",,,,,,,
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,2 PASIR RIS ST 11,1.364903,103.961329,",",,,,,,,
WHITLEY SECONDARY SCHOOL,30 Bishan Street 24,579747,30 Bishan Street 24,1.355497,103.843265,",",,,,,,,
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,2 WOODLANDS DRIVE 14,1.433234,103.790306,",",,,,,,,
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,3 WOODLANDS AVENUE 6,1.428068,103.796334,",",,,,,,,
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,10 WOODLANDS DRIVE 50,1.436771,103.791794,",",,,,,,,
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,11 WOODLANDS RING ROAD,1.434839,103.797928,",",,,,,,,
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,10 WOODLANDS RING ROAD,1.436147,103.800671,",",,,,,,,
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD ,739111,11 MARSILING ROAD,1.439565,103.774208,",",,,,,,,
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,45 HOUGANG AVENUE 1,1.357861,103.889918,",",,,,,,,
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,5 JURONG WEST STREET 91,1.342247,103.688066,",",,,,,,,
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,9 HOUGANG AVENUE 8,1.371069,103.883029,",",,,,,,,
XINMIN SECONDARY SCHOOL,11 Hougang Avenue 8,538789,11 Hougang Avenue 8,1.372635,103.883077,",",,,,,,,
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,8 YISHUN STREET 21,1.433577,103.837571,",",,,,,,,
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,15 SERANGOON AVENUE 3,1.348506,103.868407,",",,,,,,,
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,10 CHOA CHU KANG ST 64,1.396985,103.751221,",",,,,,,,
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,1 HOUGANG STREET 51,1.377792,103.885447,",",,,,,,,
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,3063 ANG MO KIO AVENUE 5,1.377635,103.842103,",",,,,,,,
YISHUN JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,3 YISHUN RING ROAD,1.424637,103.829634,",",,,,,,,
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,500 YISHUN RING ROAD,1.434101,103.833896,",",,,,,,,
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,4 YISHUN STREET 71,1.428129,103.828833,",",,,,,,,
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21,768610,6 YISHUN STREET 21,1.43231,103.837858,",",,,,,,,
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,56 BEDOK NORTH ST 3,1.333929,103.932513,",",,,,,,,
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,103 YUAN CHING ROAD,1.341917,103.720994,",",,,,,,,
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,158 JURONG EAST STREET 24,1.343263,103.740763,",",,,,,,,
YUHUA SECONDARY SCHOOL,247 JALAN BOON LAY,619522,247 JALAN BOON LAY,1.341733,103.710177,",",,,,,,,
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,3 TAMPINES STREET 21,1.351484,103.951159,",",,,,,,,
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,11 BUKIT BATOK STREET 25,1.342423,103.760309,",",,,,,,,
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,47 HOUGANG AVENUE 1,1.356754,103.890092,",",,,,,,,
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina,169485,51 Jalan Membina,1.284578,103.826193,",",,,,,,,
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road,679002,9 Fajar Road,1.37957,103.769301,",",,,,,,,
ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741,91 SENJA ROAD,1.388271,103.764939,",",,,,,,,
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4 ,556095,12 SERANGOON AVENUE 4,1.359895,103.869558,",",,,,,,,
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,13 SERANGOON AVENUE 3,1.349457,103.869187,",",,,,,,,
